Teacher,Rooms
Mr. Alder,1;34
Mrs. Cedar,2;34
Mr. Basalt,3;34
Mr. Quartz,4;35
Mr. Lantern,5;35
Mr. Harbor,6;34
Mr. Compass,7;35
Mrs. Meadow,8;34
Mr. Beacon,9;35
Mr. Anchor,10;34
Mrs. Willow,11;35
Mr. Ember,12;34
Mrs. Aspen,13;35
Mrs. Vector,14;38
Mrs. Radius,15;38
Mr. Tangent,16;38
Mrs. Matrix,17;38
Mr. Integral,18;38
Mrs. Vertex,19;38
Mrs. Kernel,20;21
Mr. Buffer,21;20
Mrs. Archive,22;35
Mrs. Chronicle,23;35
Mr. Ledger,24;34
Mr. Almanac,25;34
Mr. Quantum,26;27
Mr. Photon,27;26
Mrs. Meridian,28;37
Mr. Plateau,29;37
Mr. Isotope,30;31
Mrs. Alloy,31;30
Mr. Fern,32;36
Mrs. Palette,33;36
Mr. Canvas,S
Mr. Hurdle,S
Mr. Sprint,S
Mrs. Relay,S
Mr. Summit,S
Mr. Chisel,T
Mrs. Lathe,T
