,Shifts,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1
,Group,5a,5c,5c,5d,6a,6b,6c,6d,7a,7b,7c,7d,8a,8b,8c,8d,8e,9a,9b,9c,9d,9e,10b,10b,10c,11a,11b
,Double lessons,,,,,,,,,,,,,,,,,,,,,,,,,,,
Teacher,Subject ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mr. Alder,English,,,,,,,,,,,,,,,3,3,3,,,,,,,,1,,2
,English 2,,,,,,,,,,,,,,,2,2,2,,,,,,,,2,,2
,English 3,,,,,,,,,,,,,,,,1,1,,,,,,,,0/1,,1/0
Mrs. Cedar,French,,,5,,,,6,,,5,,,,3,,,,,,,,,,1,,,
,French 2,,,3,,,,2,,,2,,,,2,,,,,,,,,,2,,,
,French 3,,,,,,,,,,1,,,,1,,,,,,,,,,1,,,
Mr. Basalt,Italian,,,,,,,,6,,,,5,,,,,,,,,3,3,,,,,
,Italian literature,,,,,,,,2,,,,2,,,,,,,,,3,3,,,,,
,Italian+,,,,,,,,,,,,1,,,,,,,,,1,1,,,,,
Mr. Quartz,Russian,,,,,,6,,,,,5,,3,,,,,3,,,,,,,,2,
,Russian literature,,,,,,2,,,,,2,,2,,,,,3,,,,,,,,2,
,Russian culture,,,,,,,,,,,,,1,,,,,,,,,,,,,1,
,Russian+,,,,,,,,,,,,,,,,,,,,,,,,,,1,
,Russian++,,,,,,,,,,,,,,,,,,,,,,,,,,1,
Mr. Lantern,Spanish,5,,,,6,,,,5,,,,,,,,,,,,,,1,,,,
,Spanish 2,3,,,,2,,,,2,,,,,,,,,,,,,,2,,,,
,Spanish 3,1,,,,,,,,1,,,,,,,,,,,,,,1,,,,
Mr. Harbor,English,,5,,5,,,,,,,,,,,,,,,3,3,,,,,,,
,Literature,,3,,3,,,,,,,,,,,,,,,3,3,,,,,,,
,Informatics,,,,,,,,,,,,,,,,,,,,1,,,,,,,
,Additional course 1,,,,,,,,,,,1,,,,1,,,,,,,,,1,,1,
,Additional course 2,,1,,1,,,,,,,,,,,,,,,,,,,,,,,
Mr. Compass,Deutsch,,,,,,,,,3,3,3,3,,,,,,,,,,,,3,3,3,3
,Deutsch+,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mrs. Meadow,English,,,,,3,3,3,3,,,,,,,,,,3,3,3,,3,,,,,
,Additional course 1,,,,,,,,,,,,,,,,,,,,,,1,,,,,
,Additional course 2,,,,,,,,,,,,,,,,,,,,,,1,,,,,
Mr. Beacon,English,3,3,3,3,,,,,,,,,3,3,3,3,,,,,,,,,,,
,Additional course 1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Additional course 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mr. Anchor,English,,,,,3,3,3,3,,,,,,,,,,3,3,3,3,3,,,,,
Mrs. Willow,English,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mr. Ember,English,,,,,,,,,3,3,3,3,,,,,,,,,,,3,3,3,3,3
Mrs. Aspen,English,3,3,3,3,,,,,,,,,3,3,3,3,3,,,,,,,,,,
Mrs. Vector,Math,,5,,,,,,,,,,,,,3,,,,,3,,3,,3,,,
,Geometry,,,,,,,,,,,,,,,2,,,,,2,,2,,2,,,
,Math,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Additional course 1,,1,,,,,,,,,,,,,1,,,,,,,,,1,,,
,Additional course 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mrs. Radius,Math,,,,,5,,,,,,,,,,,,,,,,,,,,,,
,Math,,,,,,,,,,,,3,,,,3,,,,,3,,,,,,
,Geometry,,,,,,,,,,,,2,,,,2,,,,,2,,,,,,
,Additional course,,,,,1,,,,,,,1,,,,1,,,,,1,,,,,,
Mr. Tangent,Math,,,5,5,,5,5,5,,,,,,,,,,,,,,,,,,,
,Math,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Geometry,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Additional course,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,
Mrs. Matrix,Math,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Math,,,,,,,,,,,3,,3,,,,,,,,,,,,4/3,,4/3
,Geometry,,,,,,,,,,,2,,2,,,,,,,,,,,,2/2,,2/2
,Additional course,,,,,,,,,,,,,1,,,,,,,,,,,,0/1,,1/0
Mr. Integral,Math,5,,,,,,,,,,,,,,,,,,,,,,,,,,
,Math,,,,,,,,,3,,,,,3,,,,,,,,,4,,,3,
,Geometry,,,,,,,,,2,,,,,2,,,,,,,,,2,,,2,
,Additional course,1,,,,,,,,1,,,,,1,,,,,,,,,1,,,1,
Mrs. Vertex,Math,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Math,,,,,,,,,,3,,,,,,,3,3,3,,,,,,,,
,Geometry,,,,,,,,,,2,,,,,,,2,2,2,,,,,,,,
,Additional course,,,,,,,,,,1,,,,,,,1,1,,,,,,,,,
Mrs. Kernel,Informatics,,,,,,,,,,,,,1,1,1,1,,2,2,2,,2,4,1,4/0,1,4/0
,Additional course ,,,,,,,,,,,,,,,,,,1,1,,,,1,,0/1,,1/0
Mr. Buffer,Informatics,,,,,,,,,,,,,1,1,1,1,1,2,2,2,2,2,,1,0/1,1,0/1
,Additional course,,,,,,,,,,,,,,,,,, , , ,, ,,,,,
Mrs. Archive,History,,,,,,,,,,,,,,,,,,2,2,2,,,2,4,,4,2
,Economics,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,Law,,,,,,,,,,,,,,,,,,1,,,,,,,,,
,Sociology,,,,,,,,,,,,,,,,,,1,1,1,,,2,3,,3,2
,Additional course 1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Additional course 2,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
Mrs. Chronicle,History,,,,,,,,,2,2,,2,2,2,,,,,,,2,2,,,,,
,Sociology,,,,,,,,,1,1,,1,1,1,,,,,,,1,1,,,,,
,Additional course 1,,,,,,,,,1,1,,1,1,1,,,,,,,1,1,,,,,
,Additional course 2,,,,,,,,,,,,,,,,,,,1,,1,,,,,,
Mr. Ledger,History,,,,,,2,2,2,,,,,,,2,2,2,,,,,,,,,,
,Sociology,,,,,,1,1,1,,,,,,,1,1,1,,,,,,,,,,
,Additional course 1,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,
,Additional course 2,,,,,,,1,,,,,,,,1,,,,,,,,,,,,
Mr. Almanac,History,2,2,2,2,2,,,,,,2,,,,,,,,,,,,,,2,,
,Sociology,1,1,1,1,1,,,,,,1,,,,,,,,,,,,,,2,,
,Additional course 1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Additional course 2,1,1,1,1,,,,,,,1,,,,,,,,,,,,,,,,
,Additional course 3,,,1,,,,,,,,1,,,,,,,,,,,,,,,,
Mr. Quantum,Physics,,,,,,,,,2,2,2,2,,2,2,2,2,,,,,,,,,,
,Additional course,,,,,,,,,,,,,,1,,1,1,,,,,,,,,,
Mr. Photon,Physics,,,,,,,,,,,,,2,,,,,2,2,2,2,2,2,2,2,2,2
,Additional course,,,,,,,,,,,,,1,,,,,1,1,1,,,2,,2/0,,2/0
Mrs. Meridian,Geography,,,,,,,,,2,2,2,2,,,,,,2,2,2,2,2,,,,,
Mr. Plateau,Geography,1,1,1,1,2,2,2,2,,,,,2,2,2,2,2,,,,,,1,1,1,1,1
Mr. Isotope,Chemistry,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,1,1,1/3,1,1/3
,Additional course,,,,,,,,,,,,,,,,,,,,,,,,,3/0,,0/3
Mrs. Alloy,Chemistry,,,,,,,,,,,,,2,,,,, , , , , , ,,,,
,Biology,,,,,2,2,2,2,,,,,,,,,,,,2,2,2,1,1,1/3,1,1/3
,Additional course,,,,,,,,,,,,,,,,,,,,1,,,,,0/2,,0/2
Mr. Fern,Biology,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Biology,1,1,1,1,,,,,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,
,Additional course,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mr. Hurdle,Sports,,3,3,,,,,,,,,,,,3,3,3,,,,,,3,3,3,3,3
Mr. Sprint,Sports,,,,3,,,,,,,,3,3,3,,,,,,3,3,3,,,,,
Mrs. Relay,Sports,,,,,3,3,3,3,3,3,3,,,,,,,3,3,,,,,,,,
,Additional course,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Mrs. Palette,Art,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,
,Modern art,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,
,Postmodern art,,,,,1,1,1,1,,,,,,,,,,,,1,,,1,1,1,,1
